chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000128_y000256_x000256,6.490940692019649,89,149,-60,0.711361570623523,0.5520257307301659,63,26,86,0.7078651685393258,0.4228187919463087,0.5294117647058824,0.4633917942953479,0.24532506756812536,32,57,117,0.3595505617977528,0.21476510067114093,0.2689075630252101,0.612943189509886,0.16482505936400296
chunk_z5_y55_x5000_z000128_y000256_x000384,6.345205952995457,85,161,-76,0.7248138893897633,0.5683985132514544,60,25,101,0.7058823529411765,0.37267080745341613,0.48780487804878053,0.4409540896895221,0.21509955594610833,27,58,134,0.3176470588235294,0.16770186335403728,0.21951219512195122,0.6167930790790529,0.13539360272467016
chunk_z5_y55_x5000_z000128_y000256_x000512,6.374594271997921,88,137,-49,0.7046127534470208,0.5439398568435754,64,24,73,0.7272727272727273,0.46715328467153283,0.5688888888888888,0.43116239581688887,0.2452834962869412,28,60,109,0.3181818181818182,0.20437956204379562,0.24888888888888885,0.6254448291529169,0.15566626858917043
chunk_z5_y55_x5000_z000128_y000256_x000640,6.505460924003273,89,118,-29,0.7530167436489608,0.6038707735759512,64,25,54,0.7191011235955056,0.5423728813559322,0.6183574879227054,0.5365787846721424,0.3317975093624842,40,49,78,0.449438202247191,0.3389830508474576,0.3864734299516908,0.6428910184271682,0.24846029697668337
chunk_z5_y55_x5000_z000128_y000256_x000768,6.3998386630555615,89,109,-20,0.7701805019865243,0.626254912392099,71,18,38,0.797752808988764,0.6513761467889908,0.7171717171717172,0.5713213407734093,0.4097355070193137,51,38,58,0.5730337078651685,0.46788990825688076,0.5151515151515151,0.6504108913044505,0.3350601561265351
chunk_z5_y55_x5000_z000128_y000256_x000896,6.461980458931066,93,115,-22,0.7757709962401679,0.6336812752006632,70,23,45,0.7526881720430108,0.6086956521739131,0.673076923076923,0.5690234370317224,0.38299654415596707,50,43,65,0.5376344086021505,0.43478260869565216,0.4807692307692308,0.6585073365528977,0.3165900656504316
chunk_z5_y55_x5000_z000128_y000256_x001024,6.427196045056917,90,113,-23,0.7929820647256411,0.6569762068576006,65,25,48,0.7222222222222222,0.5752212389380531,0.6403940886699507,0.5609572410870027,0.35923370118872094,44,46,69,0.4888888888888889,0.3893805309734513,0.4334975369458128,0.6587312156526358,0.2855583594947387
chunk_z5_y55_x5000_z000128_y000256_x001152,6.368778193951584,98,97,1,0.8280805899655498,0.7066019923172081,63,35,34,0.6428571428571429,0.6494845360824743,0.6461538461538462,0.6174416863799986,0.39896232043015295,45,53,52,0.45918367346938777,0.4639175257731959,0.4615384615384615,0.7126740177525013,0.32892646973192363
chunk_z5_y55_x5000_z000128_y000384_x000000,6.4615447839023545,91,126,-35,0.7033438735589671,0.5424289903981359,50,41,76,0.5494505494505495,0.3968253968253968,0.4608294930875576,0.4193197730325521,0.1932349184481807,17,74,109,0.18681318681318682,0.1349206349206349,0.1566820276497696,0.6523068489110788,0.10220475973721972
chunk_z5_y55_x5000_z000128_y000384_x000128,6.349820481031202,102,110,-8,0.6554948015405799,0.48753608561102496,28,74,82,0.27450980392156865,0.2545454545454545,0.2641509433962264,0.34333131589341365,0.09069129099071303,8,94,102,0.0784313725490196,0.07272727272727272,0.07547169811320754,0.5665317616690925,0.04275711408823339
chunk_z5_y55_x5000_z000128_y000384_x000256,6.441926278988831,105,143,-38,0.6319549629214565,0.4619401743315371,66,39,77,0.6285714285714286,0.46153846153846156,0.532258064516129,0.3840756758994168,0.20442737588194768,24,81,119,0.22857142857142856,0.16783216783216784,0.1935483870967742,0.6218237081055807,0.12035297576237047
chunk_z5_y55_x5000_z000128_y000384_x000384,6.595579235930927,107,132,-25,0.6981013436854984,0.5362178847789338,65,42,67,0.6074766355140186,0.49242424242424243,0.5439330543933054,0.4215917317677589,0.22931767836740022,26,81,106,0.24299065420560748,0.19696969696969696,0.2175732217573222,0.60671429063125,0.13200478289884937
chunk_z5_y55_x5000_z000128_y000384_x000512,6.404560873052105,120,149,-29,0.6036374419294257,0.43229277270474975,72,48,77,0.6,0.48322147651006714,0.5353159851301115,0.3382412772572418,0.18106596254662757,13,107,136,0.10833333333333334,0.087248322147651,0.09665427509293681,0.5838656922455354,0.056433115235627954
chunk_z5_y55_x5000_z000128_y000384_x000640,6.534446769976057,77,113,-36,0.694138184490996,0.5315556180961092,62,15,51,0.8051948051948052,0.5486725663716814,0.6526315789473685,0.502721019259399,0.32809161256929203,36,41,77,0.4675324675324675,0.3185840707964602,0.37894736842105264,0.6356895285091635,0.24089287396136722
chunk_z5_y55_x5000_z000128_y000384_x000768,6.4245919870445505,78,96,-18,0.7684085657444364,0.6239151591768755,62,16,34,0.7948717948717948,0.6458333333333334,0.7126436781609194,0.580590290042038,0.41375399980007305,42,36,54,0.5384615384615384,0.4375,0.4827586206896552,0.6755605428177918,0.3261326758430719
chunk_z5_y55_x5000_z000128_y000384_x000896,6.370111827971414,84,94,-10,0.802481042777197,0.6701196986795528,66,18,28,0.7857142857142857,0.7021276595744681,0.7415730337078651,0.5377671697754635,0.39879363151888303,40,44,54,0.47619047619047616,0.425531914893617,0.449438202247191,0.65882796907397,0.29610245801077306
chunk_z5_y55_x5000_z000128_y000384_x001024,6.674375080037862,78,97,-19,0.8166209389426008,0.690075535232908,55,23,42,0.7051282051282052,0.5670103092783505,0.6285714285714287,0.5961372896426468,0.374714867775378,39,39,58,0.5,0.4020618556701031,0.44571428571428573,0.6991502095239279,0.31162123624495075
chunk_z5_y55_x5000_z000128_y000384_x001152,6.566769559984095,90,100,-10,0.815173912636184,0.6880114485408645,67,23,33,0.7444444444444445,0.67,0.7052631578947369,0.6155626785332059,0.43413367854447155,51,39,49,0.5666666666666667,0.51,0.5368421052631579,0.692685670763301,0.3718628337781932
chunk_z5_y55_x5000_z000128_y000512_x000000,6.4263604279840365,95,123,-28,0.6206086571133107,0.44991485579034174,43,52,80,0.45263157894736844,0.34959349593495936,0.3944954128440367,0.3573307731609365,0.14096535088000245,10,85,113,0.10526315789473684,0.08130081300813008,0.09174311926605504,0.6075719679627586,0.05574054751951914
chunk_z5_y55_x5000_z000128_y000512_x000128,6.548348639975302,127,154,-27,0.68125378439375,0.5165920298626723,52,75,102,0.4094488188976378,0.33766233766233766,0.3701067615658363,0.361878930835478,0.13393383917042603,15,112,139,0.11811023622047244,0.09740259740259741,0.10676156583629894,0.5726187443424761,0.061133673773218086
