chunk,runtime_seconds,num_predicted_masks,num_ground_truth_masks,count_error,dice,semantic_iou,true_positives_iou001,false_positives_iou001,false_negatives_iou001,precision_iou001,recall_iou001,f1_iou001,mean_matched_iou_iou001,panoptic_quality_iou001,true_positives_iou05,false_positives_iou05,false_negatives_iou05,precision_iou05,recall_iou05,f1_iou05,mean_matched_iou_iou05,panoptic_quality_iou05
chunk_z5_y55_x5000_z000128_y000000_x000768,6.364470480941236,89,181,-92,0.46758416514972695,0.3051287741329121,49,40,132,0.550561797752809,0.27071823204419887,0.362962962962963,0.2838163439333587,0.10301482113136723,6,83,175,0.06741573033707865,0.03314917127071823,0.044444444444444446,0.5772174426607583,0.025654108562700367
chunk_z5_y55_x5000_z000128_y000000_x000896,6.307303827954456,82,130,-48,0.4512484833654503,0.29136273864384465,42,40,88,0.5121951219512195,0.3230769230769231,0.39622641509433965,0.23928536641356746,0.09481118291858334,1,81,129,0.012195121951219513,0.007692307692307693,0.009433962264150945,0.6105679702048417,0.005760075190611714
chunk_z5_y55_x5000_z000128_y000000_x001024,6.393794459057972,85,140,-55,0.6548972937953763,0.4868753075690787,56,29,84,0.6588235294117647,0.4,0.4977777777777778,0.36373313083883696,0.18105826957310994,16,69,124,0.18823529411764706,0.11428571428571428,0.14222222222222222,0.5950243173946008,0.084625680696121
chunk_z5_y55_x5000_z000128_y000000_x001152,6.398620035033673,75,137,-62,0.6437144061000639,0.4746156775499569,52,23,85,0.6933333333333334,0.3795620437956204,0.490566037735849,0.42159508000422713,0.20682022792660198,16,59,121,0.21333333333333335,0.11678832116788321,0.1509433962264151,0.645958371690984,0.09750315044392212
chunk_z5_y55_x5000_z000128_y000128_x000000,6.257496019941755,47,150,-103,0.25210824635377066,0.1442356174676461,27,20,123,0.574468085106383,0.18,0.2741116751269036,0.13966392368965266,0.038283512077366716,1,46,149,0.02127659574468085,0.006666666666666667,0.01015228426395939,0.5022771633051398,0.005099260541168932
chunk_z5_y55_x5000_z000128_y000128_x000128,6.341617248021066,54,173,-119,0.13590732218688367,0.07290802855699484,12,42,161,0.2222222222222222,0.06936416184971098,0.10572687224669604,0.04169799735001695,0.004408598838768312,0,54,173,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000128_x000256,6.393535375013016,44,162,-118,0.19966878946588934,0.11090669777737892,26,18,136,0.5909090909090909,0.16049382716049382,0.2524271844660194,0.1429343068044749,0.0360805046302558,0,44,162,0.0,0.0,0.0,0.0,0.0
chunk_z5_y55_x5000_z000128_y000128_x000384,6.311258865986019,60,157,-97,0.42958579881656805,0.27354935945742276,45,15,112,0.75,0.28662420382165604,0.4147465437788019,0.25056415123301984,0.10392061571876399,2,58,155,0.03333333333333333,0.012738853503184714,0.018433179723502304,0.5608151114111322,0.010337605740297367
chunk_z5_y55_x5000_z000128_y000128_x000512,6.519519031047821,91,164,-73,0.5526336143553252,0.38182012504675894,60,31,104,0.6593406593406593,0.36585365853658536,0.47058823529411764,0.3141099033770673,0.1478164251186199,10,81,154,0.10989010989010989,0.06097560975609756,0.0784313725490196,0.578965967079242,0.04540909545719545
chunk_z5_y55_x5000_z000128_y000128_x000640,6.402240269933827,90,143,-53,0.6375098502758078,0.46790052053209946,54,36,89,0.6,0.3776223776223776,0.463519313304721,0.3818882281647717,0.17701256927809159,14,76,129,0.15555555555555556,0.0979020979020979,0.12017167381974247,0.6104074004014501,0.07335367901820002
